,country,Country Count,year
0,ARM,4,2000
1,BEL,1,2000
2,BIH,2,2000
3,BLR,2,2000
4,BRA,1,2000
5,BUL,2,2000
6,CHN,6,2000
7,CRO,2,2000
8,CZE,2,2000
9,DEN,1,2000
10,ENG,5,2000
11,ESP,1,2000
12,EST,1,2000
13,FRA,4,2000
14,GEO,2,2000
15,GER,5,2000
16,HUN,3,2000
17,IND,2,2000
18,ISR,5,2000
19,KAZ,1,2000
20,LTU,1,2000
21,MDA,2,2000
22,NED,4,2000
23,PER,1,2000
24,POL,1,2000
25,RUS,27,2000
26,SLO,1,2000
27,SUI,2,2000
28,SVK,1,2000
29,SWE,1,2000
30,UKR,6,2000
31,USA,5,2000
32,UZB,2,2000
0,ARM,4,2001
1,BEL,2,2001
2,BIH,2,2001
3,BLR,2,2001
4,BRA,1,2001
5,BUL,3,2001
6,CHN,4,2001
7,CRO,2,2001
8,CUB,1,2001
9,CZE,2,2001
10,DEN,2,2001
11,ENG,7,2001
12,ESP,2,2001
13,EST,1,2001
14,FRA,8,2001
15,GEO,2,2001
16,GER,8,2001
17,HUN,5,2001
18,INA,1,2001
19,IND,2,2001
20,IRL,1,2001
21,ISR,6,2001
22,KAZ,2,2001
23,LTU,1,2001
24,MDA,1,2001
25,MKD,1,2001
26,NED,5,2001
27,POL,2,2001
28,ROM,4,2001
29,RUS,29,2001
30,SLO,1,2001
31,SUI,2,2001
32,SVK,1,2001
33,SWE,1,2001
34,UKR,7,2001
35,USA,5,2001
36,UZB,2,2001
0,ARM,4,2002
1,AZE,1,2002
2,BEL,2,2002
3,BIH,2,2002
4,BLR,3,2002
5,BRA,1,2002
6,BUL,2,2002
7,CHN,5,2002
8,CRO,1,2002
9,CUB,2,2002
10,CZE,2,2002
11,DEN,2,2002
12,ENG,7,2002
13,ESP,2,2002
14,EST,1,2002
15,FRA,6,2002
16,GEO,2,2002
17,GER,8,2002
18,GRE,1,2002
19,HUN,5,2002
20,IND,2,2002
21,ISL,2,2002
22,ISR,3,2002
23,KAZ,2,2002
24,LTU,1,2002
25,MDA,1,2002
26,MKD,2,2002
27,NED,6,2002
28,POL,2,2002
29,ROM,2,2002
30,ROU,2,2002
31,RUS,28,2002
32,SLO,2,2002
33,SUI,2,2002
34,SVK,2,2002
35,SWE,2,2002
36,UKR,6,2002
37,USA,8,2002
38,UZB,1,2002
0,ARM,5,2003
1,AZE,2,2003
2,BEL,2,2003
3,BIH,1,2003
4,BLR,2,2003
5,BRA,1,2003
6,BUL,1,2003
7,CHN,4,2003
8,CRO,1,2003
9,CUB,2,2003
